# Мутации гейта чисел (0d): id, файл, что заменить, на что, чем гейт обязан
# ответить. Поля разделены табуляцией.
#
# СЧЁТ ВЛАДЕЛЬЦА в полях 3-5 (вход, мутация, ждём-след) пишется ТОКЕНОМ
# {OWNER:<id>:<величина>} и живёт в одном доме -- у владельца: значение
# подставляет стенд из реестра OWNERS гейта чисел, поэтому таблица едет
# вместе с владельцем без правки здесь. Литерал допустим ровно там, где
# мутация обязана держать ЗАВЕДОМО ДРУГОЕ число, и защищён проверкой
# «после подстановки поле 3 не равно полю 4».
#
# Почему таблица лежит ОТДЕЛЬНО от кода стенда: вход каждой мутации -- это
# нарочно неверное утверждение о счёте, а гейт сканирует прозу в .md и .txt
# и комментарии в .sh, .js, .py. Записанное в коде стенда, оно было бы живым
# утверждением. Данные (как corpus-versions.txt) гейт не читает.
#
# Каждая строка обязана и ПРИМЕНИТЬСЯ (вход найден дословно и РОВНО ОДИН раз:
# теневой дубликат в другом месте файла позволял мутации подтвердиться после
# того, как её настоящая цель исчезла), и покраснить гейт ИМЕННО своей
# причиной: красное не по той причине -- провал стенда, а не подтверждение.
#
# Каждое правило грамматики имеет здесь СВОЙ вход: украшения разметки (D5),
# ширина связки (D11), регистр имени (D9), общее слово вместо имени (D8),
# явные пометки (D10, D12), граница прозы и кода (D13), неоднозначность (D6).
D11	claude-patch-all.sh	REACH = 8	REACH = 1	четыре слова между
D12	scripts/kit-build.sh	 — docnum:historical)	)	объявлено «{OWNER:pipeline:checks} checks» (владелец pipeline)
D13	claude-patch-all.sh	    if ext in ('.md', '.txt', ''):	    if True:	строковое значение в коде
D14	claude-patch-all.sh	        lo, hi = sentence_span(at)	        lo, hi = max(0, at - 120), min(len(stream), at + 120)	пометка из соседнего предложения
D15	claude-patch-all.sh	'стало', 'теперь', 'составляет', 'равно')	'теперь', 'составляет', 'равно')	связка «стало»
D16	claude-patch-all.sh	'стенде', 'стенды', 'стендов', 'стендах')	'стенде')	русское общее слово вместо имени
D17	claude-patch-all.sh	LEFT_STOP = (',', ':', BREAK)	LEFT_STOP = (BREAK,)	запятая рвёт пару с чужим числом
D18	claude-patch-all.sh	BLOCK_MD = re.compile(r'^\s*(?:[-*+\u2022]\s|\|\s?|\d+[.)]\s|#{1,6}\s)')	BLOCK_MD = re.compile(r'^(?!)')	элементы списка -- разные блоки
D19	claude-patch-all.sh	ABBR = ('шт', 'т', 'тт',	ABBR = ('нетакого', 'т', 'тт',	сокращение не рвёт предложение
D20	claude-patch-all.sh	RANGE = ('от', 'до', 'from',	RANGE = ('от', 'from',	диапазон -- не счёт
D21	claude-patch-all.sh	'ten', 'eleven', 'twelve', 'thirteen',	'ten', 'eleven', 'twelve',	счёт словом требует цифру
D22	claude-patch-all.sh	MASK = re.compile(r'\d{4}-\d{2}-\d{2}|\d+(?:\.\d+)+|\[\^\d+\]'	MASK = re.compile(r'\d{4}-\d{2}-\d{2}|\d+(?:\.\d+)+'	маркер сноски не значение
D23	claude-patch-all.sh	        if len(found) > 1:	        if False:	два владельца в предложении -- отказ
D24	claude-patch-all.sh	    if ext == '.py':	    if ext == '.py-нет':	докстринг питона -- проза
D25	claude-patch-all.sh	            elif re.match(r'(echo|say|printf)\b', stripped):	            elif False:	печатаемая строка -- проза
D26	claude-patch-all.sh	    ('pipeline', ('pipeline', 'конвейер', 'конвейера', 'конвейере',	    ('pipeline', ('нетакогоимени', 'конвейера', 'конвейере',	## What the patches do ({OWNER:pipeline:checks} pipeline checks)
D27	claude-patch-all.sh	        (('checks', 'проверок', 'проверки', 'проверкам', 'проверками',	        (('checks', 'проверок', 'проверки', 'проверками',	дательный падеж
D28	claude-patch-all.sh	                if nxt_ch == '-' or prv_ch in ('~', '±'):	                if False:	составное число принадлежит своему слову
D29	claude-patch-all.sh	            if not prev[:1].isalnum():	            if prev.casefold() not in WORDNUM:	числительное чужого предмета не женится
# Волна 20. Гарантии грамматики, добавленные разбором раунда 17: пометка
# освобождает ОДИН счёт (а не предложение), окно отвергает два имени так же
# строго, как предложение, огороженный блок РАЗБИРАЕТСЯ, ячейка таблицы
# получает существительное шапки, список числительных словами полон.
# Каждая из них до этой волны жила без мутации -- то есть на слово.
D30	claude-patch-all.sh	            if min(here, key=lambda a: (abs(a - mp), a)) == at:	            if True:	пометка освобождает один счёт, а не всё предложение
D31	claude-patch-all.sh	        if len(found) > 1:	        if len(found) > 1 and strict:	объявленный владелец не проигрывает соседу по расстоянию
D32	claude-patch-all.sh	        return blocks(FENCE_LINE.sub(BREAK, text), BLOCK_MD)	        return blocks(FENCE.sub(BREAK, text), BLOCK_MD)	огороженный блок ловит расхождение
D33	claude-patch-all.sh	        if header and TABLE_ROW.match(line) and not TABLE_SEP.match(line):	        if False:	ячейка таблицы ловит расхождение по шапке
D34	claude-patch-all.sh	           'пятьдесят', 'шестьдесят', 'семьдесят', 'восемьдесят', 'девяносто',	           'пятьдесят', 'шестьдесят', 'семьдесят', 'восемьдесят',	девяносто -- тоже счёт словом
D35	claude-patch-all.sh	           'thirty', 'forty', 'fifty', 'sixty', 'seventy', 'eighty', 'ninety',	           'thirty', 'forty', 'fifty', 'sixty', 'seventy', 'eighty',	ninety -- тоже счёт словом
D36	README.md	probe-bench's {OWNER:probe-bench:mutations} recorded mutations	probe-bench's {OWNER:probe-bench:mutations:+1} recorded mutations	объявлено «{OWNER:probe-bench:mutations} mutations» (владелец probe-bench)
D37	README.md	checks-teeth's {OWNER:checks-teeth:mutations} recorded mutations	checks-teeth's {OWNER:checks-teeth:mutations:+1} recorded mutations	объявлено «{OWNER:checks-teeth:mutations} mutations» (владелец checks-teeth)
D38	claude-patch-all.sh	JOURNAL_DIRS = (os.path.join('docs', 'review'),)	JOURNAL_DIRS = ()	docs/review/findings-ledger.md
D39	claude-patch-all.sh	JOURNAL_DIRS = (os.path.join('docs', 'review'),)	JOURNAL_DIRS = (os.path.join('docs', 'reviews'),)	дом журнала кампании не найден
D40	claude-patch-all.sh	все {OWNER:pipeline:checks} проверок конвейера сошлись	все {OWNER:pipeline:checks} сошлись	опущенным существительным
D41	claude-patch-all.sh	# docnum:synthetic-block -- этот блок ЕСТЬ сам гейт	# этот блок ЕСТЬ сам гейт	the pipeline runs 999 checks
D42	claude-patch-all.sh	    """Все питоновские heredoc'и одного файла	    """corpus-tools-bench has 12 scenarios. Питоновские heredoc'и одного файла	объявлено «{OWNER:corpus-tools-bench:scenarios} scenarios» (владелец corpus-tools-bench)
D43	README.md	build-path-probe has {OWNER:build-path-probe:scenarios} scenarios	build-path-probe has {OWNER:build-path-probe:scenarios:+1} scenarios	объявлено «{OWNER:build-path-probe:scenarios} scenarios» (владелец build-path-probe)
D44	README.md	{OWNER:build-path-probe:scenarios} scenarios and {OWNER:build-path-probe:mutations} mutations	{OWNER:build-path-probe:scenarios} scenarios and 108 mutations	объявлено «{OWNER:build-path-probe:mutations} mutations» (владелец build-path-probe)
D45	tools/corpus-tools-bench.sh	EXPECTED_SCENARIOS={OWNER:corpus-tools-bench:scenarios}	EXPECTED_SCENARIO_COUNT={OWNER:corpus-tools-bench:scenarios:+1}	не объявляет свою величину
